"",".id","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"1","84567570","Scholar, #IoT, #Ethics, #cyberSecurity. Associate Professor & Director of Computer Science at York St John University. thoughts my own",6070,1403,1958,933,"https://t.co/a7JpK4u2xd","Dr Justin McKeown",2009-10-23 11:38:33,FALSE,FALSE,"justin_mckeown","York","en","84567570",39,FALSE,"http://pbs.twimg.com/profile_images/615425796103106560/cR6MbH0O_normal.jpg"
"2","934386990111444992","",3,7,27,81,NA,"Jane",2017-11-25 11:43:13,FALSE,FALSE,"Jane_Music321","","en-gb","934386990111444992",0,FALSE,"http://pbs.twimg.com/profile_images/935874241936941057/3v1bNo6__normal.jpg"
"3","15506507","London based artist and author. Associate professor of Fine Art, Ruskin; fellow at Magdalen College, Oxford.",7553,1278,684,963,"https://t.co/0ZB972bpQd","Samson Kambalu",2008-07-20 22:21:23,FALSE,FALSE,"kambalu_s","London","en","15506507",39,FALSE,"http://pbs.twimg.com/profile_images/469760012177264640/V2_qiIc8_normal.jpeg"
"4","58544055","Co-founder & CEO @inploime.

(re)Tweeting about #entrepreneurship #startup #tech #growth #politics, and the fascinating/freaky world we live in, mostly.",7034,6889,7608,3395,"https://t.co/xguZcn7mGq","Matthew de la Hey",2009-07-20 18:10:45,FALSE,FALSE,"mattdlhey","London, England","en","58544055",247,FALSE,"http://pbs.twimg.com/profile_images/927559363639873536/GRfSIfUL_normal.jpg"
"5","46694955","Newton Fellow @UniofOxford | Junior Research Fellow @BalliolOxford | Evolution of Cooperation | https://t.co/kcHE4o7ug5 | Participant @Nationale_DT 2015",978,280,1227,922,"https://t.co/Up6oWieAdn","Gijsbert Werner",2009-06-12 17:00:07,FALSE,FALSE,"Gijsbertwerner","Oxford, United Kingdom","en","46694955",12,FALSE,"http://pbs.twimg.com/profile_images/730777202661412864/-VEQAX66_normal.jpg"
"6","885699587066871808","",4,26,4,453,NA,"Jamian Sianturi",2017-07-14 03:16:51,FALSE,FALSE,"JamianSianturi","Indonesia","en","885699587066871808",0,FALSE,"http://pbs.twimg.com/profile_images/933549714888380416/fiei8SBP_normal.jpg"
"7","391891588","Grad Student, Geopolitics, Territory and Security MA (17/18), King's College London",483,331,291,1760,"https://t.co/6bkg1fRLKG","Wan Fayhsal",2011-10-16 07:52:22,FALSE,FALSE,"wanfayhsal","","en","391891588",1,FALSE,"http://pbs.twimg.com/profile_images/851873690597826560/1Odedwk0_normal.jpg"
"8","859074165948784640","MSc in #Biodiversity, #Conservation and Management @MScBiodiversity @oxfordgeography; class of 2017-2018. Formerly @BritishRedCross. All views are my own.",41,45,62,278,"https://t.co/MWY2eH6LMj","Emma Day",2017-05-01 15:56:56,FALSE,FALSE,"Day__Emma","Oxford, England","en","859074165948784640",0,FALSE,"http://pbs.twimg.com/profile_images/934540279293579266/MuSu5xAJ_normal.jpg"
"9","247718243","",249,84,536,378,"https://t.co/EofZVWcAUY","Jason He",2011-02-05 12:14:57,FALSE,FALSE,"jzh_00","Kidlington, England","en","247718243",0,FALSE,"http://pbs.twimg.com/profile_images/802972950043430912/GjeixG1V_normal.jpg"
"10","92479673","#Anthropologist 
#Researcher #FieldWork #SpecialImmigrationVisa 
@NRGInstitute @Global_South  #Photographer 
#SafeAreas #AntiWar
@LSEalumni",15167,848,2909,2267,"https://t.co/eG3rSE1IAP","Sayed Jalal <U+0634><U+062C><U+0646>",2009-11-25 08:39:52,FALSE,FALSE,"jsaeedsh","","en","92479673",54,FALSE,"http://pbs.twimg.com/profile_images/926304398443208704/73NGfQcu_normal.jpg"
"11","923141343102222336","Love reading Classic English Novels, Nice TV Series, Cappuccino, Oil Paint, Winsor & Newton, want to study Comparative Literature, Love Pokémon & A Pokéshipper.",934,35,708,227,"https://t.co/oGAyYGvARo","Happy Birthday SRJ",2017-10-25 10:57:02,FALSE,FALSE,"imbritisengupta","Asansol, India","en","923141343102222336",0,FALSE,"http://pbs.twimg.com/profile_images/936154430449188865/KyOeH4dN_normal.jpg"
"12","161133954","",53,104,21,123,NA,"Jennifer Gooden",2010-06-30 02:22:36,FALSE,FALSE,"jennifer_gooden","England, United Kingdom","en","161133954",1,FALSE,"http://pbs.twimg.com/profile_images/742682985011552256/NNAKCsjn_normal.jpg"
"13","2165350771","Arquitectura y sensatez = Sense and Architecture",1508,238,204,78,"https://t.co/zywkIiYoqk","Carlos J. Irisarri",2013-10-30 19:34:00,FALSE,FALSE,"irimarq","Madrid, España","es","2165350771",11,FALSE,"http://pbs.twimg.com/profile_images/913306813398908929/tUm1j6EX_normal.jpg"
"14","3245908778","M.Sc in Public Administration, SDA Bocconi, School of Management. Works for Oxfam in Bangladesh. #sdabocconi #influencing #advocacy  #developmentprogram",68,63,79,679,NA,"Mehbuba.Zereen",2015-06-15 10:47:04,FALSE,FALSE,"zereen83","Dhaka, Bangladesh8","en","3245908778",2,FALSE,"http://pbs.twimg.com/profile_images/900933851223957505/cao80GBJ_normal.jpg"
"15","848858212073971712","",11,13,3,300,NA,"ALI RIAZ",2017-04-03 11:22:23,FALSE,FALSE,"ALIRIAZ999","","en","848858212073971712",0,FALSE,"http://pbs.twimg.com/profile_images/927010145309282304/BlMyy55N_normal.jpg"
"16","280282416","Conservador, interessado em política, ciência e tecnologia.
Engenheiro e professor. Monarquista, apoia  #euvotodistrital e #TeaPartyBrazil",10346,731,1779,1544,"http://t.co/Eg7I4sjNaM","Ivo Martorano",2011-04-11 01:17:57,FALSE,FALSE,"kn_ivo","N. Srª do Desterro, SC, Brazil","en","280282416",16,FALSE,"http://pbs.twimg.com/profile_images/2700524844/94b513ab49d697c75ea86136bb15da78_normal.jpeg"
"17","2922675186","Lastbenchstudent rest is history",3,19,2,893,NA,"Ranjit Kumar",2014-12-08 12:36:30,FALSE,FALSE,"6f6d3d820b554cb","The Nilgiris","en","2922675186",0,FALSE,"http://pbs.twimg.com/profile_images/933405757441052672/hAwT-LWf_normal.jpg"
"18","872879933634338816","I'm Karlos Beat-maker / Music Producer  I make lofi hip hop, chill,boom bap, and instrumental hip hop type music. Check me out on Soundcloud",238,883,69,4607,"https://t.co/T85ZKlHhNG","Solrakmi",2017-06-08 18:16:08,FALSE,FALSE,"SolrakmiBeats","Banbury","en","872879933634338816",4,FALSE,"http://pbs.twimg.com/profile_images/872881072425635840/xYL0_xK1_normal.jpg"
"19","932970055893053440","I am what i am",3,20,276,322,NA,"anmol yadav",2017-11-21 13:52:49,FALSE,FALSE,"anmolya08494919","Farrukhabad-Fatehgarh, India","en","932970055893053440",0,FALSE,"http://pbs.twimg.com/profile_images/935124219918106624/ziENEROQ_normal.jpg"
"20","916641197128523776","",3,80,239,3688,"https://t.co/KWBJxD15C4","ROKIBUL",2017-10-07 12:27:46,FALSE,FALSE,"MG110702","ASIA","en","916641197128523776",0,FALSE,"http://pbs.twimg.com/profile_images/917955403685793794/FYFQF2nH_normal.jpg"
"21","46083033","""Journalism is literature in a hurry"" - Matthew Arnold",1862,359,100,1917,NA,"Richard Woodall",2009-06-10 10:36:08,FALSE,FALSE,"MrRWoodall","Writer in the Shire + itfc ","en","46083033",8,FALSE,"http://pbs.twimg.com/profile_images/921385095751241728/Sv84m3ft_normal.jpg"
"22","4877531914","@oxfordgeography+ @UniOfOxford alumna. Interested in climate change & low-carbon mobility transitions in the Global South // Runner & foodie. Proud Zimbabwean<ed><U+00A0><U+00BC><ed><U+00B7><U+00BF><ed><U+00A0><U+00BC><ed><U+00B7><U+00BC>",560,98,80,143,"https://t.co/sF5UzAJfvN","Chido",2016-02-05 08:33:37,TRUE,FALSE,"ChidoMuzondo","Johannesburg // London","en","4877531914",11,FALSE,"http://pbs.twimg.com/profile_images/927093776664973312/_eFuiN7s_normal.jpg"
"23","723927355819974656","PhD Student at O'Shea lab, Salk Institute. (Nuclear) Architecture, Chromatin, Genome Engineering + DNA viruses",32,11,443,173,NA,"Jan Soroczynski",2016-04-23 17:31:46,FALSE,FALSE,"Jan_Soro","La Jolla, San Diego","en-gb","723927355819974656",1,FALSE,"http://pbs.twimg.com/profile_images/935275791297810432/EGJkTsvb_normal.jpg"
"24","840588639226732544","Final Honour School student in Medical Sciences @uniofoxford",17,8,77,100,NA,"Sanskrithi Sravanam",2017-03-11 15:42:03,FALSE,FALSE,"SanskrithiS","Oxford, England","en","840588639226732544",0,FALSE,"http://pbs.twimg.com/profile_images/840843475021111297/SzMq0Ock_normal.jpg"
"25","2973624734","<U+200F><U+200F><U+200F><U+200F><U+200F><U+200F><U+200F><U+200F><U+200F><U+200F><U+200F><U+200F><U+200F><U+200F><U+200F><U+200F><U+200F><U+200F><U+200F><U+200F><U+200F><U+200F><U+200F><U+200F><U+200F>- <U+0644><U+0627> <U+0625><U+0644><U+0647> <U+0625><U+0644><U+0627> <U+0623><U+0646><U+062A> <U+0633><U+0628><U+062D><U+0627><U+0646><U+0643> <U+0625><U+0646><U+064A> <U+0643><U+0646><U+062A> <U+0645><U+0646> <U+0627><U+0644><U+0638><U+0627><U+0644><U+0645><U+064A><U+0646>.  <U+200E><U+200E><U+200E><U+200E><U+200E><U+200E><U+200E><U+200E>",59725,787,4058,1038,"https://t.co/SchoeVn76j","A <U+064A><U+064E> A.",2015-01-11 02:20:40,FALSE,FALSE,"A71Necati","Misir","en","2973624734",1,FALSE,"http://pbs.twimg.com/profile_images/935234583305555968/yaFBEkiA_normal.jpg"
"26","2311355160","Lord Is My Light! The Lord Is My Refuge! <ed><U+00A0><U+00BC><ed><U+00BE><U+0086><ed><U+00A0><U+00BD><ed><U+00B9><U+008F>",9404,294,17492,3163,NA,"SIOELI",2014-01-26 06:21:07,TRUE,FALSE,"GodHasAPlan27","","en","2311355160",0,FALSE,"http://pbs.twimg.com/profile_images/872351798434070528/atEPgB4c_normal.jpg"
"27","97674844","Entrepreneur, interest :Design|Education|Love Spices|Travelling IG : retnonunung . Digitally your work everywhere.",3092,453,410,746,NA,"Retno Suprabasasi",2009-12-18 14:14:04,FALSE,FALSE,"retna_nunung","| Jakarta-Singapore-London ","en","97674844",66,FALSE,"http://pbs.twimg.com/profile_images/2927813391/1d4878e57d4b41724eb33a41849f7152_normal.jpeg"
"28","785998002","Filosofo .Teólogo. Especialista en: Desarrollo social, Resolución de conflictos, Gestion de la Educacion. Maestría en Gestion Social. Dr. DDHH.",947,325,1006,3449,NA,"Said Echavez ochoa",2012-08-28 02:29:10,FALSE,FALSE,"SaidEchavez","Bogotá, D.C., Colombia","es","785998002",0,FALSE,"http://pbs.twimg.com/profile_images/717142757580660736/JKJC16CK_normal.jpg"
