"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @tigerinstemm: The TIGERS are excited to see the latest development from the #MyScienceInquiry where @CommonsSTC have asked @UKRI_News t…",FALSE,0,NA,2019-09-13 12:50:37,FALSE,NA,"1172492782860230657",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BMatB",17,TRUE,FALSE,NA,NA
"2","Congratulations to @PerformSchools  Hazlehead pupil Brodie <U+0001F44F><U+26BD><U+FE0F> #ambition #confidence #inclusion #respect https://t.co/c4cg3xZW2T",FALSE,0,NA,2019-09-13 12:50:31,FALSE,NA,"1172492756637405185",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hazleheadacad",0,FALSE,FALSE,NA,NA
"3","Thank you His Highness #AgaKhanFatimidImamCaliph for The #AgaKhanAwardForArchitecture  #AKAA2019 #Kazan #Russia… https://t.co/LcBjG5aCLf",FALSE,0,NA,2019-09-13 12:46:50,TRUE,NA,"1172491828286935040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PluralismGlobal",0,FALSE,FALSE,NA,NA
"4","RT @BulliesOut: Our trainer Steve is working with some amazing young people at @ysgolbroogwr with our #PlaygroundPals training day #buddies…",FALSE,0,NA,2019-09-13 12:46:48,FALSE,NA,"1172491821144072192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RayJorden",1,TRUE,FALSE,NA,NA
"5","RT @thinkbusinessie: @Diversein develop sustainable strategies for companies to build inclusive and happier workplaces. #inclusion #diversi…",FALSE,0,NA,2019-09-13 12:46:29,FALSE,NA,"1172491741225791488",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PlatoDublin",10,TRUE,FALSE,NA,NA
"6","Are you passionate about building community that makes the most of the great diversity of Peel Region? 

Apply now… https://t.co/wrUzlKoere",FALSE,1,NA,2019-09-13 12:45:16,TRUE,NA,"1172491434492121089",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rdrpeel",0,FALSE,FALSE,NA,NA
"7","5 ways marketers can ensure real diversity in advertising, via @wfamarketers https://t.co/bdQdjUw4SG #diversity #inclusion #marketing",FALSE,1,NA,2019-09-13 12:45:13,FALSE,NA,"1172491420168523779",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","ACA_tweets",0,FALSE,FALSE,NA,NA
"8","RT @Wipro: How can organizations gain a competitive advantage? By creating a strong and diverse team that can challenge the status quo, say…",FALSE,0,NA,2019-09-13 12:42:19,FALSE,NA,"1172490690443431937",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hansraj_dass",1303,TRUE,FALSE,NA,NA
"9","RT @Science_Open: Out today: ‘‘The #Open #Typology’: Towards Socially #Sustainable Architectural and Care Types’ new #OA @ArchitectureMPS @…",FALSE,0,NA,2019-09-13 12:42:04,FALSE,NA,"1172490631110963200",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","UCLpress",1,TRUE,FALSE,NA,NA
"10","RT @lacanlune: “If a black child has a black teacher before the end of third grade, they're 13% more likely to go to college. If that child…",FALSE,0,NA,2019-09-13 12:41:58,FALSE,NA,"1172490602497400834",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maco_nix",4,TRUE,FALSE,NA,NA
"11","E is for everyone. Are you the next addition to our digital team? You are welcome to apply! What are you waiting fo… https://t.co/Cr50LwyCGR",FALSE,1,NA,2019-09-13 12:41:46,TRUE,NA,"1172490555651166211",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ECPRAustin",0,FALSE,FALSE,NA,NA
"12","Join the State of New Jersey’s NJ Connects first business-building forum dedicated to connecting diverse suppliers… https://t.co/gW78DSe74y",FALSE,1,NA,2019-09-13 12:41:05,TRUE,NA,"1172490382745190401",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NJDiversity",0,FALSE,FALSE,NA,NA
"13","RT @naheedafzal: Thrilled and proud to have been listed as a @HERoesinB female Executive along with so many awesome women. congratulations…",FALSE,0,NA,2019-09-13 12:40:28,FALSE,NA,"1172490225429426176",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheCentreSocial",12,TRUE,FALSE,NA,NA
"14","RT @georgiaturnbu11: Why do people get so angry about inclusive language? A FB friend has posted he’s irritated by the Lincs fire service u…",FALSE,0,NA,2019-09-13 12:40:18,FALSE,NA,"1172490184262336512",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheCentreSocial",3,TRUE,FALSE,NA,NA
"15","RT @Prev_Justice: Throughout history all great change was driven by passionate leaders with Lived Experience of the issues they were trying…",FALSE,0,NA,2019-09-13 12:40:11,FALSE,NA,"1172490153581002752",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheCentreSocial",17,TRUE,FALSE,NA,NA
"16","RT @Womens_Forum: We are only a few days from #WFAsia where leaders including @LayLim will come together to solve global issues. Thank you…",FALSE,0,NA,2019-09-13 12:40:06,FALSE,NA,"1172490134773796864",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheCentreSocial",3,TRUE,FALSE,NA,NA
"17","Prod to have recieved my Badge today demonstrating my commitment to promoting none judgemental and inclusive care t… https://t.co/nk6oeENFI1",FALSE,0,NA,2019-09-13 12:40:03,TRUE,NA,"1172490123826651136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shaye_skillen",0,FALSE,FALSE,NA,NA
"18","RT @InclusionBC: ""#Inclusion is not a strategy to help people fit into the systems and structures which exist in our societies; it is about…",FALSE,0,NA,2019-09-13 12:39:57,FALSE,NA,"1172490097733906439",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheCentreSocial",25,TRUE,FALSE,NA,NA
"19","RT @aknotay: I was discussing this point with @MPrinParr this morning - it applies to #diversity #inclusion and better #representation. It’…",FALSE,0,NA,2019-09-13 12:39:31,FALSE,NA,"1172489986207301639",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ElinaGrigoriou",3,TRUE,FALSE,NA,NA
"20","Our world can be more equal when we create pathways to opportunities for a better future for everyone.
#Inclusion… https://t.co/wfhmE0Uthr",FALSE,0,NA,2019-09-13 12:39:29,TRUE,NA,"1172489979072786432",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","muthiah_ashwin",0,FALSE,FALSE,NA,NA
"21","RT @DiversityWoman: One of the best ways to recruit, engage and retain employees is to create an inclusive workplace culture. #Diversity #I…",FALSE,0,NA,2019-09-13 12:39:00,FALSE,NA,"1172489856607502337",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheCentreSocial",5,TRUE,FALSE,NA,NA
"22","@MaydenAcademy Diversitech Fund is a new funding scheme designed to encourage more people from underrepresented gro… https://t.co/Q977i6lXIU",FALSE,0,"MaydenAcademy",2019-09-13 12:38:59,TRUE,NA,"1172489853143048192","3014347775","<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","techcharterUK",0,FALSE,FALSE,NA,NA
"23","RT @BeckerWhistle: #womenintech conference 2019 ... wonderful energy, great content and a privilege to be part of #Oracle #oraclewomenlead…",FALSE,0,NA,2019-09-13 12:38:50,FALSE,NA,"1172489817579499520",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheCentreSocial",4,TRUE,FALSE,NA,NA
"24","RT @NeilMilliken: Worry less about the words you use around disability &amp; more about the positive impact that taking action has. #Inclusion…",FALSE,0,NA,2019-09-13 12:38:28,FALSE,NA,"1172489724528869381",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NjeriMaria2",1,TRUE,FALSE,NA,NA
"25","RT @wellcometrust: <U+0001F469><U+200D><U+0001F393><U+0001F469><U+200D><U+0001F393><U+0001F468><U+200D><U+0001F393><U+0001F468><U+200D><U+0001F393> Half of life science students are women
but...
<U+0001F469><U+200D><U+0001F52C><U+0001F468><U+200D><U+0001F52C><U+0001F468><U+200D><U+0001F52C><U+0001F468><U+200D><U+0001F52C> just 1 in 4 professors, according to new resear…",FALSE,0,NA,2019-09-13 12:37:58,FALSE,NA,"1172489595596025857",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheCentreSocial",63,TRUE,FALSE,NA,NA
"26","RT @Paralympics: It's official! Here's your first look at the just announced Team @Citi comprised of 41 Para athletes from across the globe…",FALSE,0,NA,2019-09-13 12:37:52,FALSE,NA,"1172489572942516224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stampjr",153,TRUE,FALSE,NA,NA
"27","Well done Sorcha <U+0001F44F> #inclusion https://t.co/AwTLh6EMMf",FALSE,0,NA,2019-09-13 12:37:36,FALSE,NA,"1172489506349617153",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","downsyndub",0,FALSE,FALSE,NA,NA
"28","@zeinabnali @profamandakirby @DoITProfiler @thefutureisnd Pioneering change in the #neurodiverse conversation. The… https://t.co/ZiXxwajUMf",FALSE,0,"zeinabnali",2019-09-13 12:35:56,TRUE,"1172467757465636864","1172489083806978048","885969645030842370","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DyspraxiaL",0,FALSE,FALSE,NA,NA
"29","RT @goreckidawn: Today we are running the #ChangeWithin #diversity and #inclusion taster session kindly hosted by @Shelter. Amazing group o…",FALSE,0,NA,2019-09-13 12:35:48,FALSE,NA,"1172489051112452098",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jameelafreitas",1,TRUE,FALSE,NA,NA
"30","RT @Paralympics: It's official! Here's your first look at the just announced Team @Citi comprised of 41 Para athletes from across the globe…",FALSE,0,NA,2019-09-13 12:33:38,FALSE,NA,"1172488505781641216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","littleabner_amy",153,TRUE,FALSE,NA,NA
"31","RT @naheedafzal: Thrilled and proud to have been listed as a @HERoesinB female Executive along with so many awesome women. congratulations…",FALSE,0,NA,2019-09-13 12:33:18,FALSE,NA,"1172488421228580864",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","InclusionAllies",12,TRUE,FALSE,NA,NA
