"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Are you passionate about building community that makes the most of the great diversity of Peel Region? 

Apply now… https://t.co/wrUzlKoere",FALSE,0,NA,2019-09-13 12:45:16,TRUE,NA,"1172491434492121089",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rdrpeel",0,FALSE,FALSE,NA,NA
"2","5 ways marketers can ensure real diversity in advertising, via @wfamarketers https://t.co/bdQdjUw4SG #diversity #inclusion #marketing",FALSE,1,NA,2019-09-13 12:45:13,FALSE,NA,"1172491420168523779",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","ACA_tweets",0,FALSE,FALSE,NA,NA
"3","WOMAG #diversity and inclusion survey is here.
Be a part of movement and lets make #equality worldwide!… https://t.co/dpnW0dUHgP",FALSE,0,NA,2019-09-13 12:45:00,TRUE,NA,"1172491366514868226",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Gaftaworld",0,FALSE,FALSE,NA,NA
"4","#diversity.....got to love it https://t.co/mBOhXMSBCo",FALSE,0,NA,2019-09-13 12:44:18,FALSE,NA,"1172491190333136897",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TotheRIGHTtoTh1",0,FALSE,FALSE,NA,NA
"5","An interesting view of #diversity and #womenintech | @ThirdLove https://t.co/SlQcIpmYSX",FALSE,0,NA,2019-09-13 12:43:06,FALSE,NA,"1172490888343220224",NA,"<a href=""http://dynamicsignal.com/"" rel=""nofollow"">Dynamic Signal</a>","lfhhrco",0,FALSE,FALSE,NA,NA
"6","Stunning #diversity https://t.co/QLtFgZoJ04",FALSE,0,NA,2019-09-13 12:43:00,FALSE,NA,"1172490862380691457",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AltviewIreland",0,FALSE,FALSE,NA,NA
"7","Join the State of New Jersey’s NJ Connects first business-building forum dedicated to connecting diverse suppliers… https://t.co/gW78DSe74y",FALSE,1,NA,2019-09-13 12:41:05,TRUE,NA,"1172490382745190401",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NJDiversity",0,FALSE,FALSE,NA,NA
"8","Reasons why Diversity and Inclusion Matters with @LisaArcy at #WomenInTech in Dublin #WinTechSeries #Diversity https://t.co/5NogPVFeyI",FALSE,0,NA,2019-09-13 12:40:50,FALSE,NA,"1172490320430469120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","avrilcr",0,FALSE,FALSE,NA,NA
"9","The complementary nature between men and women is an important factor for creating an effective team with a range o… https://t.co/EcBgXQzCr7",FALSE,0,NA,2019-09-13 12:40:09,TRUE,NA,"1172490146282954753",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","BoardroomWomen",2,FALSE,FALSE,NA,NA
"10","#RSM’s Jason Alexander Named to #Diversity MBA’s Top 100 Under 50 Executive and Emerging Leaders with Advanced Degr… https://t.co/YGKGxxA6oC",FALSE,0,NA,2019-09-13 12:38:39,TRUE,NA,"1172489768443072512",NA,"<a href=""http://dynamicsignal.com/"" rel=""nofollow"">Dynamic Signal</a>","IQThereforeIAm",0,FALSE,FALSE,NA,NA
